filename,chroma_frequency,sp_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc,label
420_truck.wav,0.6070472598075867,852.5938613700206,774.6989699491351,1570.9269205729167,0.05384883174189815,-0.0974356159567833,kamyon
421_kamyon.wav,0.6393687725067139,389.49008842529923,843.8485934807053,608.612060546875,0.010875560619212963,5.343372344970703,kamyon
421_truck.wav,0.6134923100471497,851.0224466999293,776.0438981017492,1569.8801676432292,0.05455638744212963,-0.10020333528518677,kamyon
422_kamyon.wav,0.6556001901626587,392.9917969262692,859.8596365487688,628.4505208333334,0.010678891782407407,5.034787178039551,kamyon
422_truck.wav,0.6106916069984436,852.615349623644,777.275436173859,1567.2882080078125,0.05349166304976852,-0.09124721586704254,kamyon
423_kamyon.wav,0.6792999505996704,435.62797467731474,898.4139153627693,687.9659016927084,0.013692220052083334,4.666499137878418,kamyon
423_truck.wav,0.6135799288749695,852.128755638686,778.0287369814838,1571.6746012369792,0.054777922453703706,-0.07870494574308395,kamyon
424_kamyon.wav,0.6855756640434265,442.8187531396964,916.7251699709304,708.6517333984375,0.012844509548611112,4.940150737762451,kamyon
424_truck.wav,0.6176714301109314,849.660210418774,775.6656106314606,1567.5872802734375,0.053324381510416664,-0.10715354979038239,kamyon
425_kamyon.wav,0.6739607453346252,442.9323692008864,910.059982225605,707.6548258463541,0.01180465133101852,4.892696380615234,kamyon
425_truck.wav,0.6019617319107056,852.1275401123016,774.7694619662295,1570.428466796875,0.05438684534143518,-0.08800218254327774,kamyon
426_kamyon.wav,0.6691787242889404,435.02282549737436,902.4591153079188,688.6138916015625,0.013057002314814815,4.915806770324707,kamyon
426_truck.wav,0.6189614534378052,849.2427044322717,775.3522664230628,1568.5841878255208,0.05419017650462963,-0.11700654029846191,kamyon
427_kamyon.wav,0.6664196848869324,450.43507339255825,912.0334643248549,714.3839518229166,0.01374195240162037,5.0133490562438965,kamyon
427_truck.wav,0.6036683917045593,851.527499915131,770.896825277373,1568.634033203125,0.053681550202546294,-0.09759476035833359,kamyon
428_kamyon.wav,0.6472885608673096,407.39386667421866,862.4836013201422,641.0115559895834,0.012179904513888888,5.006184101104736,kamyon
428_truck.wav,0.6190823912620544,847.21846526895,768.4118123256444,1564.8956298828125,0.05475305627893518,-0.13157540559768677,kamyon
429_kamyon.wav,0.6176101565361023,402.60512636591534,858.8705426630224,624.462890625,0.012064615885416666,5.230646133422852,kamyon
429_truck.wav,0.6141366958618164,848.692722399079,771.7093814435577,1568.1355794270833,0.05343062789351852,-0.07607127726078033,kamyon
42_kamyon.wav,0.5310333967208862,486.24110317445627,1093.9777183969065,638.9180501302084,0.01572898582175926,3.684420108795166,kamyon
42_truck.wav,0.6064399480819702,852.4348011575873,775.9659131601867,1569.7804768880208,0.05413818359375,-0.09971177577972412,kamyon
430_kamyon.wav,0.6115639805793762,391.4379215426471,851.9729053047513,609.808349609375,0.01040084273726852,5.1483659744262695,kamyon
430_truck.wav,0.6119126677513123,850.5885914208319,773.6021326421418,1566.3909912109375,0.05418113425925926,-0.11255470663309097,kamyon
431_kamyon.wav,0.6247623562812805,397.6793313178745,857.8083129823998,613.8956705729166,0.011406792534722222,4.986443996429443,kamyon
431_truck.wav,0.6132116317749023,848.9637127723984,775.0814563577825,1567.0389811197917,0.05388047960069445,-0.09252658486366272,kamyon
432_kamyon.wav,0.6277434825897217,413.4627812625521,876.7784869632918,643.6533610026041,0.012333622685185185,5.341697692871094,kamyon
432_truck.wav,0.6078861951828003,852.4573640130361,771.7879138942757,1571.1761474609375,0.053690592447916664,-0.1019456684589386,kamyon
433_kamyon.wav,0.6529293656349182,420.7712850496453,892.8474721224462,669.32373046875,0.012265805844907407,5.1979522705078125,kamyon
433_truck.wav,0.6115021109580994,847.6235277021382,772.225298420353,1565.3940836588542,0.05429868344907408,-0.09617015719413757,kamyon
434_kamyon.wav,0.6668127775192261,422.5837367783692,891.5721408450771,662.7939860026041,0.013077347366898149,4.543496608734131,kamyon
434_truck.wav,0.611407995223999,850.3817286829146,772.7892191569729,1566.2913004557292,0.05364538122106482,-0.10376022011041641,kamyon
435_kamyon.wav,0.6653858423233032,445.6751846461245,916.1195437139967,709.9477132161459,0.013283058449074073,4.841299057006836,kamyon
435_truck.wav,0.6136866211891174,849.0309105365617,772.3858140302677,1568.1854248046875,0.054563169126157406,-0.07168251276016235,kamyon
436_kamyon.wav,0.6552918553352356,440.93666076440195,906.7361960488728,711.2436930338541,0.012528030960648149,5.098243236541748,kamyon
